X,Y
0,42.2051
1,41.9744
2,42.0513
3,42.0513
4,41.9487
5,42.5128
6,42.7692
7,43.7949
8,45.2821
9,46.7949
10,47.2051
11,46.9231
12,46.1282
13,46.7436
14,47.3846
15,47.3077
16,46.1282
17,45.9744
18,45.8205
19,45.7692
20,44.6410
21,44.2821
22,43.7436
23,43.8462
24,44.3846
25,44.7949
26,44.9744
27,45.5641
28,46.4103
29,48.2564
30,50.3846
31,51.5897
32,50.9487
33,50.1026
34,50.4615
35,51.5641
36,52.4103
37,51.7949
38,50.1795
39,49.1795
40,48.0000
41,48.4359
42,47.8718
43,46.9487
44,45.2821
45,45.3590
46,45.6923
47,45.9487
48,46.7949
49,47.1795
50,47.7179
51,50.1795
52,52.7179
53,55.1795
54,56.0256
55,55.0256
56,53.2051
57,53.0256
58,54.0769
59,55.4615
60,56.1538
61,56.1026
62,54.8974
63,53.6667
64,52.2308
65,52.5641
66,52.9487
67,51.4103
68,48.1795
69,47.1282
70,47.6667
71,48.1282
72,48.9744
73,49.9231
74,49.8974
75,49.5897
76,50.6154
77,55.7692
78,59.3590
79,61.3590
80,60.1795
81,58.8462
82,58.0000
83,57.7692
84,58.3077
85,59.9231
86,60.9487
87,60.7436
88,59.4615
89,58.5641
90,57.5897
91,57.3846
92,57.5385
93,58.2051
94,57.8205
95,55.7179
96,51.8974
97,51.2564
98,51.4615
99,50.9744
100,50.7949
101,51.9744
102,52.6667
103,52.4103
104,53.5897
105,54.8718
106,56.2308
107,61.0000
108,65.3846
109,68.0000
110,66.9231
111,65.3590
112,63.5128
113,62.4872
114,62.8718
115,64.0769
116,64.9744
117,65.6154
118,65.4359
119,64.5897
120,63.2821
121,62.6923
122,62.2821
123,62.3590
124,62.4103
125,63.1795
126,62.9231
127,61.1026
128,57.3590
129,55.6923
130,55.8462
131,55.9231
132,54.9231
133,54.7436
134,54.7692
135,54.9231
136,55.3333
137,56.1538
138,56.7949
139,57.6154
140,58.2564
141,59.2308
142,61.1026
143,65.8718
144,69.1538
145,71.1538
146,71.0769
147,71.0000
148,70.2821
149,69.8718
150,69.7179
151,69.5385
152,69.5641
153,69.8718
154,70.5897
155,70.7692
156,71.2308
157,70.7949
158,69.7436
159,68.5385
160,67.4359
161,66.8205
162,66.8974
163,66.7692
164,66.3333
165,66.3846
166,66.5128
167,66.7436
168,65.7179
169,65.3077
170,63.5897
171,61.8462
172,59.5128
173,58.7692
174,58.6410
175,59.0769
176,58.6923
177,58.0769
178,57.8974
179,57.7692
180,57.2821
181,57.7692
182,57.8205
183,58.2821
184,58.7692
185,60.0256
186,60.8718
187,61.5641
188,62.2821
189,61.9231
190,64.1538
191,66.4359
192,68.5128
193,72.7949
194,73.3333
195,73.0513
196,73.8205
197,75.1538
198,75.1795
199,74.8974
200,74.2051
201,74.7179
202,74.7436
203,74.8462
204,75.0769
205,75.3333
206,75.7436
207,76.2564
208,76.6410
209,76.9744
210,76.8205
211,77.0769
212,77.1795
213,77.3077
214,76.8205
215,76.0256
216,75.1026
217,74.4103
218,74.2564
219,73.6667
220,72.3846
221,72.0256
222,71.7436
223,71.0513
224,70.3333
225,70.3077
226,70.2051
227,69.6667
228,69.1282
229,69.1795
230,69.1538
231,69.3333
232,69.6154
233,69.9744
234,70.2308
235,70.4872
236,70.7692
237,70.8205
238,70.7179
239,70.5385
240,70.2051
241,70.0513
242,69.9231
243,69.9487
244,69.6410
245,69.2564
246,68.8974
247,68.4872
248,67.8462
249,67.5641
250,67.5128
251,67.2308
252,66.6154
253,66.1026
254,65.8718
255,65.5128
256,64.8718
257,64.5897
258,64.6410
259,64.5641
260,64.2308
261,63.9744
262,63.9487
263,63.7692
264,63.6410
265,63.3846
266,63.5897
267,63.5128
268,63.4615
269,63.6154
270,63.6154
271,63.4872
272,63.2564
273,63.3590
274,63.2051
275,63.1538
276,63.0000
277,63.0000
278,63.2051
279,63.2564
280,63.0513
281,63.1282
282,62.9487
283,63.0769
284,62.7692
285,62.9231
286,62.9487
287,62.9487
288,62.8462
289,63.1795
290,62.8205
291,63.1538
292,63.3846
293,63.5128
294,63.4103
295,63.3590
296,63.2308
297,63.2051
298,63.1795
299,63.3333
300,63.3077
301,63.6667
302,63.9231
303,64.5385
304,64.8205
305,65.0513
306,64.9231
307,65.1538
308,65.5385
309,66.2308
310,66.3077
311,66.8205
312,67.1026
313,68.0000
314,67.5897
315,68.2308
316,68.3077
317,69.0000
318,68.9744
319,69.4359
320,69.4872
321,69.8462
322,69.6667
323,70.1026
324,70.4872
325,70.6410
326,70.6154
327,70.5641
328,70.1538
329,69.8974
330,69.6410
331,69.3846
332,68.9487
333,68.6923
334,68.8718
335,69.3077
336,69.4872
337,69.6923
338,69.0769
339,69.4615
340,69.5897
341,70.4359
342,70.7436
343,71.4872
344,71.4872
345,72.3846
346,72.8205
347,73.5385
348,73.8462
349,74.4615
350,74.8974
351,75.2821
352,75.2821
353,75.3846
354,75.4103
355,75.3590
356,74.9231
357,74.8718
358,74.4359
359,74.4103
360,74.3846
361,74.5385
362,74.6667
363,74.6923
364,74.7949
365,74.7179
366,74.4615
367,73.8974
368,72.4359
369,71.6410
370,71.1282
371,69.4103
372,65.3590
373,63.5128
374,63.4615
375,62.8462
376,61.2821
377,61.2051
378,59.7949
379,59.7179
380,58.8205
381,58.1795
382,57.7692
383,57.8974
384,57.2308
385,56.9231
386,56.7179
387,57.7692
388,58.2564
389,58.6410
390,58.8462
391,59.2821
392,60.1026
393,62.4103
394,63.7436
395,64.5128
396,65.3333
397,66.0769
398,65.6667
399,65.0769
400,64.7692
401,65.0769
402,65.8205
403,66.3590
404,66.5128
405,67.3077
406,67.7179
407,69.4359
408,69.7692
409,69.5128
410,69.1282
411,68.6923
412,67.9231
413,68.2051
414,69.3846
415,70.2821
416,70.4103
417,70.3333
418,70.0513
419,70.1795
420,69.1282
421,68.4103
422,64.9487
423,59.6667
424,57.2564
425,56.8205
426,57.2308
427,56.9744
428,55.8462
429,55.7179
430,55.0000
431,54.2051
432,54.1282
433,55.2308
434,55.6154
435,55.1282
436,55.3590
437,57.3590
438,59.7692
439,62.5128
440,63.0256
441,62.2821
442,61.3333
443,61.7949
444,62.2821
445,63.3077
446,64.1026
447,65.2821
448,65.5641
449,65.6410
450,65.1026
451,64.7436
452,64.2308
453,65.1282
454,65.9487
455,67.5128
456,67.4103
457,67.0000
458,65.8974
459,61.3846
460,55.1538
461,53.3077
462,53.5128
463,54.2564
464,54.0256
465,53.2308
466,52.7692
467,53.3333
468,53.1026
469,53.0000
470,53.0513
471,54.9744
472,57.0256
473,58.6923
474,58.6154
475,57.9487
476,58.6667
477,59.7949
478,60.7692
479,62.1282
480,62.3590
481,62.0513
482,61.0256
483,60.7692
484,59.8974
485,60.7179
486,61.7692
487,63.8718
488,62.4872
489,58.9487
490,54.5128
491,51.3077
492,50.3590
493,50.5385
494,50.9744
495,50.9487
496,51.0000
497,51.6667
498,50.7179
499,51.6667
500,53.6154
501,55.3077
502,55.3077
503,54.8205
504,55.1795
505,56.2308
506,57.7949
507,59.0513
508,58.5128
509,57.7179
510,56.8205
511,56.9231
512,57.7179
513,58.7692
514,58.3846
515,57.0000
516,53.6154
517,51.6410
518,49.2564
519,48.5385
520,48.5385
521,49.2564
522,49.3846
523,49.2564
524,49.1026
525,50.3333
526,51.4359
527,51.8718
528,52.6154
529,53.6154
530,54.0513
531,55.9487
532,56.7949
533,56.0769
534,54.5897
535,54.4103
536,54.5385
537,55.7179
538,55.2821
539,53.2308
540,50.4872
541,49.5128
542,46.9231
543,45.6154
544,47.3077
545,47.4103
546,47.7436
547,48.2051
548,49.0769
549,50.4872
550,50.4359
551,50.3077
552,51.2564
553,52.7949
554,53.7949
555,54.0769
556,52.9231
557,52.5897
558,53.3077
559,54.0769
560,51.9487
561,49.7949
562,48.3590
563,47.2051
564,45.4103
565,45.2564
566,45.6923
567,46.2051
568,46.8205
569,47.8974
570,48.2821
571,48.0256
572,48.0513
573,49.3590
574,50.5897
