X,Y
0,44.2500
1,43.9722
2,43.4167
3,43.3333
4,43.1111
5,43.6389
6,43.8611
7,45.1667
8,46.3611
9,47.5556
10,47.4722
11,47.3333
12,47.1667
13,47.6944
14,47.6389
15,47.1667
16,46.1111
17,45.6667
18,46.4444
19,46.8611
20,46.2500
21,45.6944
22,45.0000
23,45.3056
24,45.7222
25,46.4167
26,46.9722
27,48.2778
28,50.0833
29,51.7500
30,51.5833
31,50.8889
32,51.2222
33,52.9444
34,53.4444
35,52.5000
36,50.3889
37,49.1389
38,48.5556
39,49.3889
40,49.1944
41,49.3889
42,48.2778
43,47.6667
44,47.3889
45,48.1944
46,48.7778
47,49.9167
48,51.9167
49,53.9722
50,54.9722
51,55.3889
52,54.8333
53,54.3611
54,54.7778
55,56.5278
56,56.6667
57,56.1944
58,54.6389
59,53.1944
60,52.2778
61,53.4167
62,53.9722
63,53.8333
64,51.2222
65,49.4722
66,49.6111
67,49.9722
68,50.6389
69,51.0833
70,51.9722
71,55.0556
72,58.3611
73,61.1389
74,60.6111
75,59.2500
76,57.6667
77,57.1667
78,58.1111
79,60.4167
80,61.3889
81,61.6667
82,60.1111
83,59.0000
84,56.9444
85,56.2222
86,56.9444
87,58.4444
88,57.7778
89,57.0000
90,54.8056
91,52.0000
92,51.7778
93,53.1944
94,54.4444
95,54.4444
96,54.5833
97,57.8333
98,61.7778
99,67.0000
100,68.1111
101,67.1389
102,65.0000
103,62.5556
104,61.3333
105,63.2222
106,64.9167
107,66.2500
108,66.6389
109,66.0556
110,64.6111
111,63.4444
112,62.4167
113,61.6944
114,62.3611
115,62.7500
116,62.1667
117,61.5000
118,59.2500
119,55.8611
120,54.8333
121,55.3056
122,57.3056
123,58.8056
124,59.3056
125,58.8333
126,57.0556
127,58.3056
128,64.4722
129,70.5000
130,72.0833
131,71.5833
132,70.7500
133,70.7222
134,68.8611
135,67.6389
136,67.6111
137,68.9722
138,70.3611
139,71.0833
140,71.1667
141,70.3889
142,69.5833
143,68.4444
144,67.3889
145,66.9167
146,66.9167
147,67.2222
148,67.2778
149,67.5833
150,67.5556
151,67.1111
152,64.8611
153,62.4722
154,59.7222
155,57.6389
156,58.5000
157,59.9167
158,60.6111
159,61.0278
160,60.9167
161,61.0833
162,62.2500
163,63.3333
164,63.7500
165,67.6111
166,71.8889
167,75.6111
168,75.1389
169,75.6667
170,75.3333
171,75.3611
172,75.2778
173,74.9167
174,74.7778
175,74.5278
176,75.0000
177,75.6389
178,75.8333
179,76.1389
180,76.2500
181,76.2778
182,75.5833
183,75.0000
184,73.5000
185,72.2500
186,71.1944
187,71.3056
188,71.2500
189,71.5278
190,71.9167
191,72.4722
192,73.1389
193,73.6667
194,73.5556
195,72.8333
196,71.8333
197,71.2778
198,69.8611
199,67.9722
200,65.3333
201,64.0278
202,63.0833
203,62.9167
204,62.8333
205,62.9167
206,63.5556
207,64.1944
208,63.6944
209,64.1389
210,64.1944
211,64.6667
212,65.3333
213,66.6944
214,67.3056
215,67.5833
216,67.8611
217,69.5278
218,71.7500
219,74.7778
220,75.8889
221,77.2222
222,78.5278
223,79.5556
224,79.2500
225,79.7500
226,79.5833
227,79.7778
228,80.3056
229,80.6389
230,80.5278
231,79.9444
232,79.4444
233,79.4167
234,79.5833
235,79.7500
236,79.5000
237,80.1944
238,81.0556
239,82.0556
240,82.8889
241,83.4722
242,83.7222
243,84.0000
244,83.9167
245,84.1667
246,84.1944
247,84.0278
248,83.1667
249,82.5833
250,82.6944
251,82.0278
252,81.6389
253,81.4167
254,80.6667
255,79.8056
256,78.8056
257,78.0833
258,77.2500
259,76.8611
260,76.0278
261,75.4722
262,75.0833
263,74.1667
264,74.0000
265,74.0833
266,74.0000
267,73.6667
268,73.3056
269,72.8889
270,72.8056
271,72.6111
272,72.4444
273,72.4444
274,72.4444
275,72.6389
276,72.7500
277,73.0556
278,73.1944
279,73.6389
280,73.8056
281,73.7222
282,73.8056
283,74.1389
284,74.0833
285,74.5000
286,74.4444
287,74.6667
288,74.8056
289,75.0556
290,75.1667
291,75.2778
292,75.3333
293,75.6111
294,75.7500
295,75.9167
296,75.8056
297,75.7500
298,75.8056
299,75.8056
300,75.6667
301,75.5000
302,75.4444
303,75.3611
304,75.2778
305,75.2778
306,75.0000
307,75.0278
308,74.9444
309,74.8333
310,74.6944
311,74.1389
312,73.8056
313,73.4722
314,73.6944
315,73.4167
316,73.4167
317,73.3611
318,73.5000
319,73.3611
320,73.3056
321,73.1667
322,72.7778
323,72.6389
324,72.7500
325,73.0000
326,72.9722
327,73.1667
328,73.2500
329,73.6667
330,73.5833
331,73.7778
332,73.5833
333,74.1667
334,74.3611
335,75.1111
336,75.6389
337,76.2778
338,76.5278
339,77.3333
340,77.7500
341,78.7500
342,79.1667
343,80.7222
344,80.5278
345,80.6944
346,81.4722
347,82.1111
348,82.2778
349,82.2778
350,82.6111
351,82.8611
352,82.6944
353,82.3611
354,82.0278
355,81.6667
356,80.8611
357,80.3333
358,80.0000
359,79.6111
360,79.0556
361,78.6667
362,79.3056
363,79.4722
364,79.3889
365,79.7222
366,79.9444
367,80.1667
368,80.0000
369,79.8056
370,79.4167
371,79.1111
372,78.2222
373,77.9167
374,76.8889
375,75.8333
376,73.3056
377,71.5000
378,70.7778
379,69.0556
380,67.5833
381,67.0278
382,66.4444
383,65.8889
384,64.6111
385,64.5278
386,64.2778
387,63.8889
388,63.2222
389,63.0556
390,62.9167
391,62.5000
392,62.6389
393,63.3611
394,63.3056
395,65.0833
396,66.8333
397,67.8333
398,69.8611
399,71.8056
400,71.6944
401,72.4722
402,72.8611
403,72.4167
404,71.6944
405,70.7778
406,70.4722
407,70.3056
408,70.2778
409,70.3056
410,70.5000
411,71.5000
412,72.4722
413,74.1667
414,75.0556
415,75.6944
416,74.6944
417,74.3889
418,74.3889
419,74.5833
420,74.3333
421,74.1944
422,74.8333
423,75.7222
424,75.4722
425,75.5833
426,74.9167
427,75.6389
428,74.8056
429,74.8889
430,74.1389
431,68.1667
432,63.1111
433,62.6944
434,63.6111
435,63.0278
436,61.4722
437,61.1111
438,60.9722
439,60.4444
440,59.4444
441,58.5278
442,59.5278
443,61.6389
444,63.5833
445,65.7222
446,66.4722
447,68.1111
448,67.4167
449,66.2222
450,66.2778
451,65.5278
452,66.2778
453,67.3056
454,67.6389
455,69.5278
456,70.2778
457,72.3889
458,71.2222
459,70.5000
460,68.8889
461,68.2222
462,68.3333
463,69.6944
464,71.3056
465,72.0278
466,72.1667
467,73.8611
468,70.1667
469,66.3056
470,63.1944
471,58.6389
472,58.1111
473,58.7778
474,59.3333
475,59.2222
476,58.0278
477,56.6389
478,57.0833
479,59.2778
480,61.5000
481,63.0556
482,64.3056
483,64.2500
484,62.7500
485,62.2778
486,62.4167
487,63.7222
488,65.1389
489,67.0833
490,67.8611
491,67.8889
492,66.4444
493,65.4167
494,64.8611
495,65.4167
496,66.8333
497,67.9444
498,68.2500
499,68.2778
500,65.8611
501,60.6111
502,54.9167
503,54.5833
504,56.1944
505,56.3333
506,55.3333
507,55.0833
508,55.4722
509,56.9167
510,58.4167
511,59.8889
512,60.0000
513,59.0000
514,57.8333
515,58.9722
516,60.9444
517,63.6667
518,65.6944
519,65.3889
520,63.3889
521,61.5000
522,60.8611
523,62.0000
524,62.7222
525,64.1111
526,64.6389
527,62.8889
528,57.0278
529,52.6667
530,53.9167
531,54.4167
532,52.7778
533,52.2500
534,53.5556
535,55.3056
536,56.1389
537,57.4444
538,56.6944
539,55.6111
540,54.6667
541,56.3611
542,59.0278
543,61.5000
544,61.7222
545,59.9444
546,58.6111
547,58.6667
548,59.4444
549,60.4167
550,60.5000
551,58.5556
552,54.9167
553,53.5278
554,52.4444
555,51.2500
556,51.1389
557,52.3611
558,53.3333
559,54.2222
560,55.1944
561,55.0000
562,54.0833
563,53.9722
564,55.5556
565,57.8333
566,58.9167
567,58.6111
568,56.6944
569,55.5556
570,56.0000
571,57.5278
572,57.7222
573,55.8611
574,53.8333
575,52.4722
576,50.6944
577,50.1389
578,49.6944
579,50.4444
580,51.5556
581,53.1111
582,53.0000
583,52.1389
584,51.5556
585,52.9722
586,54.7500
587,56.1111
588,55.6389
589,54.8333
590,54.6111
591,55.5833
592,55.1667
593,54.1667
594,51.8611
595,49.5833
596,48.3889
597,48.7222
598,48.2222
599,48.9167
600,50.2222
601,50.9722
602,50.3056
603,49.5833
