X,Y
0,31.4583
1,31.4375
2,31.9792
3,31.8750
4,32.4583
5,32.4167
6,32.6667
7,32.6458
8,33.3333
9,34.2708
10,36.0625
11,37.4792
12,38.1458
13,37.3333
14,36.3750
15,33.5208
16,31.9792
17,30.6875
18,31.2708
19,31.4167
20,31.7292
21,31.9375
22,32.1875
23,32.2292
24,32.8750
25,33.9167
26,34.7083
27,34.8333
28,34.6250
29,34.0625
30,33.9583
31,35.1875
32,37.7500
33,39.7083
34,41.4167
35,42.6042
36,42.7500
37,37.9583
38,33.6250
39,32.1875
40,31.7500
41,31.3542
42,32.3333
43,32.5417
44,33.0417
45,33.6458
46,34.1042
47,34.1042
48,34.5833
49,34.7917
50,35.4167
51,35.1042
52,35.4375
53,35.3750
54,35.5833
55,36.6458
56,38.0833
57,39.3125
58,41.5625
59,43.0625
60,44.0417
61,43.7500
62,43.9375
63,40.0000
64,34.1458
65,29.9375
66,31.6667
67,32.9375
68,33.8333
69,34.0833
70,34.6250
71,34.4375
72,34.5833
73,34.3125
74,34.8333
75,34.8750
76,35.8750
77,36.2083
78,36.6458
79,36.9792
80,37.6042
81,37.7083
82,37.9583
83,38.1875
84,39.1042
85,41.8333
86,45.7500
87,47.7500
88,48.9583
89,48.4167
90,47.4792
91,46.2708
92,43.7500
93,38.6667
94,33.5833
95,32.1875
96,33.8958
97,35.1042
98,35.7708
99,35.1875
100,35.4167
101,34.8750
102,35.0000
103,35.1458
104,35.4583
105,35.7708
106,36.2292
107,36.3542
108,36.9167
109,37.2500
110,38.0208
111,38.4583
112,38.8125
113,39.4167
114,40.6875
115,41.6042
116,42.4583
117,42.7083
118,43.6042
119,47.2292
120,51.1667
121,52.3542
122,52.3125
123,51.0625
124,50.2500
125,48.9583
126,48.1042
127,45.0208
128,41.8333
129,38.7083
130,37.7917
131,36.3542
132,35.5833
133,35.3958
134,35.6042
135,35.5833
136,35.6667
137,35.3750
138,35.4375
139,35.1042
140,35.9375
141,36.0000
142,36.5208
143,36.4167
144,37.3750
145,37.9792
146,39.3542
147,39.1042
148,39.3958
149,39.6667
150,40.3750
151,40.5625
152,40.6667
153,40.6875
154,41.2500
155,41.9375
156,43.1250
157,44.5000
158,46.1458
159,47.2500
160,48.1667
161,48.7917
162,49.9583
163,51.9375
164,54.1250
165,55.6042
166,56.1667
167,55.6250
168,55.0208
169,54.2292
170,54.0208
171,53.1458
172,50.8958
173,47.2917
174,45.1042
175,43.2917
176,41.4792
177,40.6667
178,40.3125
179,39.6667
180,39.2500
181,38.2292
182,38.2500
183,37.7292
184,37.1667
185,36.3333
186,35.8125
187,35.6667
188,35.7083
189,35.8750
190,35.8958
191,35.8333
192,35.8958
193,35.5417
194,36.0625
195,36.1667
196,36.8125
197,37.2292
198,37.8958
199,37.9792
200,38.5417
201,39.1042
202,40.2083
203,40.4792
204,41.1458
205,41.3542
206,41.7708
207,41.3542
208,41.6042
209,41.2708
210,41.7917
211,41.8542
212,42.0625
213,41.9167
214,42.0417
215,41.6667
216,41.6250
217,41.6875
218,41.7708
219,41.8958
220,42.2917
221,42.4167
222,42.7917
223,42.5625
224,42.9583
225,42.7500
226,43.4375
227,43.3958
228,44.1875
229,44.6250
230,45.0625
231,44.5625
232,44.9167
233,45.3750
234,46.0208
235,45.9792
236,46.3333
237,46.5417
238,47.0625
239,46.9792
240,47.6042
241,47.8125
242,48.5833
243,48.8542
244,49.6875
245,50.1042
246,50.5208
247,50.6458
248,51.1667
249,51.6250
250,52.7500
251,53.1875
252,53.8958
253,53.8958
254,54.2708
255,53.8750
256,54.7083
257,54.8750
258,55.4375
259,55.3958
260,56.0625
261,56.0208
262,55.8958
263,56.1042
264,56.3542
265,56.3958
266,56.7083
267,56.7708
268,56.9167
269,56.6667
270,56.6042
271,56.6042
272,56.5417
273,56.2917
274,56.1042
275,55.9583
276,55.6875
277,55.4167
278,55.3333
279,55.1458
280,55.1667
281,54.7500
282,54.3750
283,54.2292
284,53.9375
285,53.2708
286,53.0625
287,52.7917
288,52.7083
289,51.8750
290,51.7708
291,51.2708
292,50.8125
293,50.0417
294,49.8125
295,49.3125
296,48.9583
297,48.2708
298,47.7292
299,47.1875
300,46.6250
301,45.8750
302,45.9167
303,45.1667
304,45.3750
305,44.6042
306,44.5625
307,44.0833
308,43.6875
309,43.1667
310,43.0000
311,42.8750
312,42.6667
313,42.2917
314,41.8958
315,41.7083
316,41.3542
317,41.1875
318,41.0417
319,41.3958
320,41.3333
321,41.2708
322,41.1875
323,41.1458
324,41.1458
325,40.8750
326,40.9375
327,40.8333
328,40.7500
329,40.7917
330,40.8958
331,40.8542
332,40.5625
333,39.8958
334,39.8750
335,39.6042
336,39.6042
337,38.8958
338,39.0417
339,38.6667
340,38.3125
341,37.4792
342,37.2917
343,37.1875
344,36.8542
345,36.1042
346,35.4792
347,35.3542
348,35.0417
349,35.0625
350,35.0833
351,35.2500
352,35.0625
353,34.7292
354,35.2292
355,35.2917
356,35.9792
357,36.5417
358,36.9375
359,37.5208
360,38.1042
361,39.0417
362,40.3750
363,41.4167
364,42.9375
365,45.7917
366,48.1250
367,48.8750
368,50.7292
369,50.9792
370,51.1875
371,51.8958
372,52.4792
373,51.7917
374,51.4583
375,50.6042
376,50.1042
377,48.3542
378,46.7083
379,45.9167
380,45.5833
381,43.7917
382,42.8125
383,41.7292
384,41.3750
385,40.2917
386,40.0000
387,39.7500
388,39.8750
389,39.2292
390,39.2083
391,39.0625
392,38.9167
393,38.6875
394,38.5208
395,37.7083
396,37.3542
397,36.1458
398,36.1250
399,35.4167
400,35.0833
401,33.5625
402,33.1458
403,32.9167
404,32.7292
405,32.7083
406,32.7708
407,33.0833
408,33.3333
409,34.1667
410,35.9583
411,37.8333
412,39.9167
413,43.1250
414,46.8958
415,49.6667
416,51.0208
417,49.2292
418,49.0000
419,48.7083
420,47.6875
421,45.4167
422,44.0417
423,43.3542
424,42.2292
425,40.5625
426,40.3125
427,39.5417
428,38.9167
429,38.5208
430,38.7708
431,38.3958
432,37.9375
433,37.2500
434,36.8750
435,36.0625
436,35.4167
437,33.8958
438,33.7708
439,32.8333
440,32.5000
441,31.8958
442,32.3958
