X,Y
0,27.6250
1,28.1042
2,28.2500
3,28.1667
4,28.5000
5,28.6875
6,28.7917
7,29.3333
8,30.7708
9,31.6042
10,32.0625
11,31.6667
12,31.0000
13,28.9583
14,28.2292
15,27.7708
16,27.8333
17,27.5833
18,27.8542
19,28.2917
20,28.5625
21,29.2292
22,30.1042
23,29.7708
24,29.8958
25,29.5417
26,29.7292
27,29.3958
28,30.5833
29,32.4792
30,34.2083
31,34.3333
32,34.6875
33,34.5833
34,33.8333
35,31.3750
36,28.6250
37,27.0833
38,27.6875
39,28.5208
40,29.2500
41,29.6042
42,29.9167
43,29.8750
44,30.5625
45,30.7708
46,31.2292
47,31.3750
48,31.6667
49,31.4167
50,31.8750
51,32.6667
52,33.8750
53,35.5417
54,37.0417
55,37.3333
56,36.8958
57,37.0208
58,36.6458
59,33.7083
60,29.8333
61,27.7083
62,28.6667
63,29.8958
64,30.3750
65,30.1667
66,30.1875
67,30.1250
68,30.8750
69,31.1458
70,31.9375
71,31.5625
72,31.7292
73,31.5625
74,32.3542
75,32.5625
76,33.3542
77,34.3333
78,35.7917
79,37.5208
80,39.7708
81,41.1458
82,40.7500
83,39.3750
84,39.3333
85,38.3333
86,36.7708
87,33.1250
88,30.1667
89,30.0000
90,31.7500
91,31.9167
92,32.0000
93,31.3958
94,31.9167
95,31.7083
96,32.1667
97,32.2500
98,32.7708
99,32.3958
100,33.0000
101,33.3125
102,34.1250
103,34.7083
104,35.5833
105,36.1042
106,37.0417
107,37.4167
108,38.2292
109,40.7083
110,43.4375
111,43.8750
112,44.4583
113,43.8958
114,43.1250
115,42.1458
116,41.8125
117,39.9167
118,37.5208
119,35.1667
120,32.6458
121,31.1667
122,32.2083
123,32.2917
124,32.5000
125,31.8750
126,32.4583
127,32.1458
128,32.3958
129,32.4375
130,33.0625
131,33.1667
132,34.0208
133,34.1250
134,34.8750
135,35.1458
136,35.7292
137,35.7708
138,36.6667
139,36.6667
140,37.4583
141,38.9167
142,40.0833
143,41.0208
144,42.3958
145,42.8333
146,44.6875
147,46.1458
148,47.0833
149,47.5208
150,47.9792
151,47.3125
152,46.7917
153,45.7917
154,45.8333
155,45.4375
156,44.1667
157,40.2083
158,37.4792
159,37.2917
160,36.4792
161,34.7292
162,34.3958
163,34.0208
164,34.1042
165,33.5417
166,33.5417
167,33.2917
168,33.0625
169,32.5833
170,32.7083
171,32.6458
172,33.1667
173,33.6250
174,34.3750
175,34.3750
176,35.0208
177,36.0417
178,37.1875
179,37.0208
180,37.7083
181,37.6042
182,38.4375
183,38.0833
184,38.1458
185,37.7500
186,38.3542
187,38.5000
188,38.9792
189,39.5208
190,40.0208
191,40.2500
192,40.8125
193,41.2708
194,42.5208
195,43.6667
196,44.6875
197,45.4167
198,46.8542
199,47.1250
200,48.9583
201,50.4583
202,51.5833
203,52.0000
204,52.5833
205,52.2500
206,52.1667
207,51.9375
208,52.0208
209,51.8125
210,51.7917
211,51.1042
212,50.6875
213,49.1875
214,48.3333
215,47.1458
216,46.2708
217,44.8958
218,44.8542
219,44.3750
220,42.8958
221,40.4583
222,39.7500
223,39.3542
224,38.6458
225,37.1875
226,36.9583
227,36.9375
228,37.0833
229,36.7083
230,36.8333
231,36.3542
232,36.3333
233,35.9375
234,35.7500
235,35.8542
236,36.1458
237,36.2292
238,36.3542
239,35.7917
240,35.6458
241,35.6458
242,35.4375
243,35.3750
244,35.0833
245,35.0208
246,34.7708
247,34.9167
248,34.6875
249,34.6458
250,34.5208
251,34.3542
252,34.2917
253,34.2292
254,34.2083
255,34.1250
256,34.2083
257,34.0417
258,34.2708
259,34.2083
260,34.3958
261,34.2292
262,34.4375
263,34.2500
264,34.4375
265,34.5208
266,34.8750
267,34.7083
268,34.9792
269,34.9792
270,35.1250
271,35.1250
272,35.1667
273,35.1667
274,35.3750
275,35.4375
276,35.4583
277,35.3542
278,35.3958
279,35.4375
280,35.3958
281,35.2917
282,35.2917
283,35.3125
284,35.2708
285,35.2500
286,35.3125
287,35.2917
288,35.2500
289,35.2708
290,35.2500
291,35.2292
292,34.7917
293,34.7292
294,34.6042
295,34.8333
296,34.6458
297,34.5625
298,34.5000
299,34.5208
300,34.5417
301,34.5208
302,34.6458
303,34.2917
304,34.3125
305,34.5000
306,34.6042
307,34.5833
308,34.6458
309,34.9167
310,35.0417
311,35.0417
312,35.2083
313,35.3333
314,35.3750
315,35.4792
316,35.7917
317,36.0208
318,36.1667
319,36.2083
320,36.3542
321,36.0625
322,36.2083
323,36.0208
324,36.1250
325,36.3958
326,36.7083
327,36.7500
328,36.8125
329,36.6458
330,37.2500
331,37.2708
332,38.1458
333,39.1667
334,40.1042
335,40.3750
336,41.2083
337,42.7917
338,44.2292
339,44.6875
340,45.6458
341,45.8958
342,46.8542
343,47.9792
344,48.7292
345,49.5625
346,50.6875
347,51.0417
348,51.6250
349,51.2083
350,51.3750
351,51.4583
352,51.5833
353,51.0833
354,50.6875
355,49.6250
356,48.6250
357,46.8750
358,45.5625
359,44.8958
360,44.0417
361,42.7083
362,42.0833
363,41.3542
364,40.8125
365,39.5000
366,39.1250
367,38.8542
368,38.6042
369,38.0417
370,37.7917
371,37.5833
372,37.6458
373,37.6042
374,37.7917
375,37.6667
376,37.7708
377,37.5833
378,37.4167
379,37.5208
380,37.2083
381,36.0000
382,35.5208
383,35.5208
384,35.1667
385,34.0000
386,33.1250
387,32.6042
388,32.5625
389,32.3750
390,32.3125
391,32.6042
392,32.5625
393,32.5625
394,33.4375
395,33.1875
396,33.7708
397,34.5208
398,35.4375
399,37.1875
400,39.4792
401,42.1458
402,44.1667
403,44.8125
404,46.1042
405,45.9375
406,46.5000
407,46.9167
408,47.2083
409,46.1250
410,45.7083
411,45.6042
412,45.0208
413,42.5625
414,40.9167
415,40.4167
416,39.5000
417,37.5000
418,37.5625
419,37.6875
420,37.6875
421,36.9375
422,36.9375
423,36.8542
424,36.3958
425,35.6458
426,35.5208
427,34.9583
428,34.5208
